Area_sqft,Property_BHK,Furnished_Status,Bathroom,Society,Price_(lacks),Status,House_floor,Building_floor,Floor_Category
655,2,Unfurnished,2,Samarth Carina,58.0,Ready to Move,10,11,Top
576,1,Unfurnished,1,Harshal Height,44.0,Ready to Move,3,6,Mid
535,2,Unfurnished,1,Geetai Angan,60.0,Ready to Move,5,7,Mid
958,3,Semi-Furnished,2,Gagan Vihar,180.0,Ready to Move,4,12,Mid
925,3,Unfurnished,3,Dev City Complex,78.0,Ready to Move,6,7,Top
720,2,Semi-Furnished,2,Advika Phase I,60.0,Ready to Move,1,8,Low
540,2,Unfurnished,2,Advika Phase I,45.0,Ready to Move,5,7,Mid
654,2,Semi-Furnished,2,Suvidha Nisarg,35.0,Ready to Move,4,11,Mid
493,1,Unfurnished,1,Suvidha Nisarg,23.0,Ready to Move,1,12,Low
1008,3,Semi-Furnished,2,Sukhwani Emerald,120.0,Ready to Move,10,12,Top
906,2,Semi-Furnished,2,Awani Elegance,105.0,Ready to Move,2,4,Mid
438,1,Unfurnished,1,Palm Ville,45.0,Ready to Move,3,4,Top
540,2,Furnished,2,Sahil Om Park,45.0,Ready to Move,3,12,Mid
627,2,Unfurnished,2,Sahil Om Park,44.0,Ready to Move,11,11,Top
447,2,Unfurnished,2,Sahil Om Park,44.0,Ready to Move,10,11,Top
655,2,Semi-Furnished,2,Manjari Greens 5,64.0,Ready to Move,5,10,Mid
486,2,Unfurnished,1,Sai Enclave,27.0,Ready to Move,1,4,Mid
493,2,Unfurnished,2,Sai Enclave,27.0,Ready to Move,1,6,Low
403,1,Semi-Furnished,1,Success Towers,70.0,Ready to Move,2,3,Mid
389,1,Unfurnished,1,Shree Ganesh Apartment,33.0,Ready to Move,3,6,Mid
720,2,Semi-Furnished,2,Samruddhi Angan,40.0,Ready to Move,4,5,Top
475,1,Semi-Furnished,1,D S Srushti,36.0,Ready to Move,7,8,Top
475,1,Unfurnished,1,D S Srushti,32.0,Ready to Move,5,7,Mid
745,2,Furnished,2,Legacy Square,75.0,Ready to Move,9,11,Top
489,1,Semi-Furnished,1,Rajveer Galaxy,41.0,Ready to Move,3,6,Mid
626,2,Furnished,2,J P Homes,58.0,Ready to Move,6,10,Mid
593,2,Unfurnished,2,Kamalraj Balaji Residency,45.0,Ready to Move,2,7,Mid
508,1,Unfurnished,2,Modern Pride Apartment,65.0,Ready to Move,4,6,Mid
576,2,Semi-Furnished,2,Tanish Sai Kunj,45.0,Ready to Move,6,7,Top
468,1,Semi-Furnished,1,Moraya Krushna Nagari,27.0,Ready to Move,5,11,Mid
468,1,Semi-Furnished,1,Moraya Krushna Nagari,30.0,Ready to Move,10,12,Top
439,1,Semi-Furnished,1,Sai Shreya Park,25.5,Ready to Move,5,5,Top
369,1,Furnished,1,Vasanti Apartment,42.5,Ready to Move,1,6,Low
403,1,Semi-Furnished,1,Ujwal Terraces,36.0,Ready to Move,6,7,Top
594,2,Unfurnished,2,Trimurti Chandranil Apartment,35.0,Ready to Move,2,5,Mid
435,1,Unfurnished,1,Sumit Avenue,23.0,Ready to Move,2,5,Mid
648,2,Unfurnished,2,Sumangal Shiv Sparsh,60.0,Ready to Move,1,4,Mid
716,2,Unfurnished,1,Om Namo Residency,37.0,Ready to Move,1,4,Mid
770,2,Semi-Furnished,2,Nilkanth Apartment,75.0,Ready to Move,4,9,Mid
382,1,Unfurnished,1,Muktangan Apartment,30.0,Ready to Move,3,4,Top
403,1,Unfurnished,1,Gurudatta Apartment,25.0,Ready to Move,3,5,Mid
648,2,Semi-Furnished,2,Ganesh Nakshtram,52.0,Ready to Move,6,9,Mid
913,2,Semi-Furnished,2,Dharmavat Sunder Sankul,70.0,Ready to Move,3,5,Mid
515,2,Semi-Furnished,1,Ananta Heights,35.0,Ready to Move,4,4,Top
456,1,Unfurnished,2,Vishal Vastu Apartment,35.0,Ready to Move,1,5,Low
360,1,Unfurnished,1,Shree Parvati Apartment,18.0,Ready to Move,1,7,Low
554,2,Semi-Furnished,3,Vastu Apartment,36.0,Ready to Move,3,4,Top
351,1,Semi-Furnished,1,Shree Balaji Complex,25.0,Ready to Move,1,4,Mid
606,2,Furnished,2,Shree Balaji Complex,65.0,Ready to Move,3,10,Mid
468,1,Unfurnished,1,Sandesh Sahakari CHS,45.0,Ready to Move,5,5,Top
496,1,Unfurnished,1,Sandesh Sahakari CHS,55.0,Ready to Move,5,5,Top
720,3,Semi-Furnished,2,Royal Arcade Apartment,90.0,Ready to Move,2,6,Mid
432,1,Furnished,1,Raut Baug Apartment,40.0,Ready to Move,2,4,Mid
504,1,Semi-Furnished,1,Mayureshwar Heights CHS,52.0,Ready to Move,3,5,Mid
404,1,Furnished,1,Manav Mandir Apartment,52.0,Ready to Move,3,4,Top
396,1,Semi-Furnished,1,Classic Garden CHS,28.0,Ready to Move,1,6,Low
536,1,Unfurnished,2,Classic Garden CHS,45.0,Ready to Move,4,5,Top
540,1,Semi-Furnished,2,Saraswati Apartment,25.0,Ready to Move,2,3,Mid
1314,3,Unfurnished,3,Chintamani Labhde Prestige,275.0,Ready to Move,3,6,Mid
439,1,Unfurnished,1,Vikaskaran Sunrise Villa,42.0,Ready to Move,5,7,Mid
442,1,Unfurnished,1,Vikaskaran Sunrise Villa,40.0,Ready to Move,5,7,Mid
441,1,Unfurnished,1,Rohit Park II,42.0,Ready to Move,4,7,Mid
600,2,Unfurnished,2,Rohit Park II,52.0,Ready to Move,2,7,Mid
792,2,Unfurnished,2,Shree Nanda Classic,70.0,Ready to Move,1,8,Low
418,1,Semi-Furnished,1,Bandal Hari Om Plaza,30.0,Ready to Move,2,4,Mid
648,2,Unfurnished,1,Shiv Shakti Apartment,35.0,Ready to Move,4,5,Top
540,1,Unfurnished,1,Savli Apartment,25.0,Ready to Move,7,10,Mid
398,1,Semi-Furnished,1,Sasane Hingane Township CHS,24.0,Ready to Move,1,4,Mid
446,1,Semi-Furnished,1,Vaishnavi Valencia,23.0,Ready to Move,4,5,Top
504,1,Semi-Furnished,1,Shiv The Laurels,52.5,Ready to Move,7,7,Top
438,1,Unfurnished,1,Samarth Apartment,27.0,Ready to Move,4,6,Mid
432,1,Semi-Furnished,2,Samarth Apartment,32.0,Ready to Move,4,5,Top
439,1,Unfurnished,1,Om Apartment,33.0,Ready to Move,3,3,Top
429,1,Semi-Furnished,1,Moreshwar Apartment,26.0,Ready to Move,1,4,Mid
569,2,Semi-Furnished,2,Maple Leaf,68.0,Ready to Move,1,3,Mid
526,2,Furnished,1,Lakshmi Narayan Park,57.0,Ready to Move,2,7,Mid
540,2,Furnished,1,Krushnakunj Apartment,35.0,Ready to Move,4,4,Top
410,1,Unfurnished,1,Kanhaiya Complex,25.0,Ready to Move,4,6,Mid
403,1,Semi-Furnished,1,Chandrama Prestige,30.0,Ready to Move,1,6,Low
306,1,Unfurnished,1,Chandrama Prestige,15.0,Ready to Move,3,6,Mid
400,1,Unfurnished,2,Vastu Viram,55.0,Ready to Move,4,4,Top
396,1,Unfurnished,1,Sai Vihar Aprtment,29.5,Ready to Move,3,4,Top
505,1,Furnished,1,Durvakur Apartment,35.0,Ready to Move,3,4,Top
648,1,Unfurnished,1,Chaurang Residency,35.0,Ready to Move,1,6,Low
554,2,Semi-Furnished,1,Chaitanya Society,45.0,Ready to Move,2,5,Mid
484,1,Unfurnished,1,Canary Nest Apartment,40.0,Ready to Move,3,3,Top
792,2,Unfurnished,2,Audumbar Apartment,65.0,Ready to Move,1,8,Low
459,1,Unfurnished,1,Audumbar Apartment,50.0,Ready to Move,5,6,Top
302,1,Unfurnished,1,Audumbar Apartment,27.0,Ready to Move,2,8,Mid
702,3,Unfurnished,2,Ambience Residency,60.0,Ready to Move,3,6,Mid
605,1,Semi-Furnished,1,Shri Hari Krupa,48.0,Ready to Move,4,5,Top
806,2,Semi-Furnished,2,Anmol Nayantara Heights,150.0,Ready to Move,2,8,Mid
680,2,Unfurnished,2,Natraj Group Vela Enclave,61.0,Ready to Move,1,9,Low
652,2,Furnished,2,Krishna Keval Township,60.0,Ready to Move,1,5,Low
792,2,Unfurnished,2,Gladiola Paradise,59.0,Ready to Move,2,7,Mid
659,2,Furnished,2,Sarvodaya Housing Complex,65.0,Ready to Move,2,4,Mid
403,1,Furnished,1,Natasha Enclave,38.0,Ready to Move,3,5,Mid
684,2,Unfurnished,2,Natasha Enclave,65.0,Ready to Move,2,6,Mid
936,2,Semi-Furnished,2,Darvesh Jasmine,60.0,Ready to Move,5,12,Mid
505,1,Unfurnished,1,Sanjeevani Shyamal Phase II,45.0,Ready to Move,6,6,Top
797,2,Furnished,1,Padmaja Park,80.0,Ready to Move,3,7,Mid
1800,3,Semi-Furnished,3,Padmaja Park,325.0,Ready to Move,3,4,Top
425,1,Semi-Furnished,1,Padmaja Park,42.0,Ready to Move,4,6,Mid
432,1,Unfurnished,1,Raj Tower,30.0,Ready to Move,3,7,Mid
586,2,Unfurnished,2,Raj Tower,45.0,Ready to Move,3,6,Mid
456,1,Unfurnished,1,Tulip Homes,23.0,Ready to Move,4,4,Top
656,2,Unfurnished,1,Shree krishna vhila,25.0,Ready to Move,1,4,Mid
396,2,Furnished,1,Choulwar Laxmi Venkatesh Sankul,26.0,Ready to Move,1,6,Low
950,2,Semi-Furnished,2,Suvidha Apartments,155.0,Ready to Move,1,3,Mid
720,2,Semi-Furnished,2,ArcVista,50.0,Ready to Move,5,11,Mid
439,1,Furnished,2,Dwarka Sai,47.0,Ready to Move,6,8,Top
680,2,Semi-Furnished,2,Suvidha Vrundavan,35.0,Ready to Move,7,7,Top
659,2,Semi-Furnished,2,Suvidha Vrundavan,32.0,Ready to Move,2,6,Mid
432,1,Unfurnished,1,Nyati Spa Villas,30.0,Ready to Move,1,4,Mid
468,1,Semi-Furnished,1,MR Pride,37.0,Ready to Move,1,7,Low
369,1,Unfurnished,1,Sakar,17.5,Ready to Move,2,4,Mid
426,1,Unfurnished,1,Stark Aura,37.0,Ready to Move,2,8,Mid
576,2,Unfurnished,2,Balaji Apartment,65.0,Ready to Move,1,5,Low
457,1,Unfurnished,1,Balaji Apartment,45.0,Ready to Move,2,5,Mid
972,3,Furnished,3,SSD Sai Orchards,100.0,Ready to Move,5,8,Mid
720,2,Furnished,2,Nisarg Varsha,100.0,Ready to Move,1,4,Mid
382,1,Unfurnished,1,Urban Gram Chakan,21.0,Ready to Move,2,4,Mid
756,2,Unfurnished,2,Urban Gram Chakan,50.0,Ready to Move,7,12,Mid
479,2,Unfurnished,2,ArcVista,50.0,Ready to Move,1,11,Low
684,2,Unfurnished,2,Rudraksh,51.0,Ready to Move,5,11,Mid
697,2,Unfurnished,2,Shree Ram Hill View,55.0,Ready to Move,5,8,Mid
747,2,Furnished,2,Arun Blu,99.0,Ready to Move,4,11,Mid
582,2,Furnished,2,Elegent Residency,77.0,Ready to Move,8,12,Mid
594,2,Unfurnished,2,Sai Crest,72.0,Ready to Move,6,13,Mid
396,1,Unfurnished,1,Vastu Forest Nest,17.0,Ready to Move,7,10,Mid
403,1,Unfurnished,1,Pearl Apartment,35.0,Ready to Move,1,4,Mid
864,3,Semi-Furnished,3,Lal Deval Housing Society,140.0,Ready to Move,2,3,Mid
720,2,Unfurnished,2,Keshav CHS,110.0,Ready to Move,1,5,Low
1080,3,Furnished,3,Kenjale Light House,240.0,Ready to Move,3,9,Mid
713,2,Furnished,2,Dev City,75.0,Ready to Move,7,7,Top
720,2,Unfurnished,2,Windsor County,55.0,Ready to Move,4,11,Mid
468,2,Semi-Furnished,2,Aarav Florista,38.0,Ready to Move,7,10,Mid
403,1,Unfurnished,1,Primera Homes,34.0,Ready to Move,3,11,Mid
396,2,Unfurnished,2,Dreams Nivara,20.0,Ready to Move,4,4,Top
407,2,Unfurnished,2,Dreams Nivara,18.0,Ready to Move,3,4,Top
810,3,Unfurnished,3,Ashwini Palace,80.0,Ready to Move,7,7,Top
684,2,Unfurnished,2,Aaditya Terraces,63.0,Ready to Move,1,12,Low
576,2,Semi-Furnished,2,Suchandra Corner,58.0,Ready to Move,2,5,Mid
420,1,Unfurnished,1,Binawat Paradise,18.0,Ready to Move,5,6,Top
564,2,Semi-Furnished,2,Binawat Paradise,38.0,Ready to Move,3,6,Mid
396,1,Unfurnished,1,Nandini Atharva,30.0,Ready to Move,3,4,Top
655,2,Semi-Furnished,2,Nandini Atharva,36.0,Ready to Move,1,7,Low
1260,3,Semi-Furnished,3,Anmol Residency,125.0,Ready to Move,5,7,Mid
691,2,Unfurnished,2,Mayuri Residency,45.0,Ready to Move,5,6,Top
936,3,Unfurnished,2,Friends Enclave,109.0,Ready to Move,1,2,Mid
410,1,Semi-Furnished,1,Navratna Swastik,35.0,Ready to Move,3,5,Mid
624,2,Semi-Furnished,2,Navratna Swastik,50.0,Ready to Move,2,3,Mid
684,2,Unfurnished,2,Vardhaman Vatika,75.0,Ready to Move,5,8,Mid
549,2,Unfurnished,2,Venkatesh Sankul,40.0,Ready to Move,2,5,Mid
535,1,Unfurnished,1,Shivane Riverview Society Carpet Area 535 sqft Status Ready to Move Floor 3 out of 5 Transaction Resale Furnishing Unfurnished Society Riverview Society,26.0,Ready to Move,3,5,Mid
792,2,Semi-Furnished,2,Vanaraji Heights,120.0,Ready to Move,3,12,Mid
432,1,Unfurnished,1,Vishakha Regency,35.0,Ready to Move,1,5,Low
432,1,Semi-Furnished,1,Gulmohar Horizon,35.0,Ready to Move,3,7,Mid
420,1,Unfurnished,1,Mahalaxmi Heights,30.0,Ready to Move,1,7,Low
684,2,Unfurnished,2,Ambegaon Dutta Niwas Society Carpet Area 684 sqft Status Ready to Move Floor 7 out of 7 Transaction Resale Furnishing Unfurnished Society Dutta Niwas Society,50.8,Ready to Move,7,7,Top
529,2,Unfurnished,2,Rahi Regancy Narhe,32.0,Ready to Move,5,6,Top
684,2,Semi-Furnished,2,Gayatri Apartment,78.0,Ready to Move,3,4,Top
570,1,Furnished,1,Shree Ganesh Vihar,49.0,Ready to Move,5,6,Top
572,2,Semi-Furnished,2,Kamal Baug Society,37.0,Ready to Move,10,12,Top
446,1,Semi-Furnished,1,Solitaire Paradise,42.0,Ready to Move,2,7,Mid
446,1,Semi-Furnished,1,Solitaire Paradise,41.0,Ready to Move,4,8,Mid
756,2,Semi-Furnished,3,Dhanlaxmi Residency,95.0,Ready to Move,6,9,Mid
638,2,Semi-Furnished,2,Venkatesh Residency,35.0,Ready to Move,5,7,Mid
441,1,Semi-Furnished,1,Venkatesh Residency,27.0,Ready to Move,3,7,Mid
691,2,Semi-Furnished,2,Venkatesh Residency,32.0,Ready to Move,6,7,Top
576,2,Unfurnished,2,Venkatesh Residency,30.0,Ready to Move,2,6,Mid
811,2,Unfurnished,2,Wakad Dhanraj Park Society Carpet Area 811 sqft Status Ready to Move Floor 6 out of 6 Transaction Resale Furnishing Unfurnished Society Dhanraj Park Society,75.0,Ready to Move,6,6,Top
605,2,Furnished,2,Satya River Apartment,95.0,Ready to Move,2,6,Mid
608,2,Furnished,2,Shubhashree Residency,72.0,Ready to Move,2,7,Mid
734,2,Semi-Furnished,2,Sunshine Hills Phase 2,50.0,Ready to Move,2,12,Low
441,1,Semi-Furnished,1,Bhakti Pride Apartment,25.0,Ready to Move,2,4,Mid
446,1,Semi-Furnished,1,Setpal Karishma Platinum,38.0,Ready to Move,2,5,Mid
428,1,Semi-Furnished,1,Setpal Karishma Platinum,27.0,Ready to Move,4,4,Top
424,1,Unfurnished,1,Gandharva Nagari Community,25.0,Ready to Move,5,6,Top
499,1,Unfurnished,1,Nakshatra,22.0,Ready to Move,2,4,Mid
720,2,Unfurnished,2,Shobha Empire,48.0,Ready to Move,3,5,Mid
684,2,Semi-Furnished,2,Venkatesh Paradise,43.0,Ready to Move,5,11,Mid
711,2,Unfurnished,2,Shruti Icon,60.0,Ready to Move,6,6,Top
702,2,Unfurnished,2,Green Estate,40.0,Ready to Move,8,9,Top
689,2,Semi-Furnished,2,Green Estate,42.0,Ready to Move,5,7,Low
684,2,Furnished,2,Yogesh Gandharv Excellencee,60.0,Ready to Move,8,12,Mid
360,1,Unfurnished,1,Balaji Nisarg,20.0,Ready to Move,1,4,Mid
396,1,Unfurnished,1,Balaji Nisarg,18.0,Ready to Move,1,5,Low
468,1,Furnished,1,Alpine Aura,36.0,Ready to Move,1,8,Low
439,2,Unfurnished,1,Amar Deep,52.0,Ready to Move,3,3,Top
410,1,Semi-Furnished,1,Amar Preet,35.0,Ready to Move,2,5,Mid
626,2,Semi-Furnished,2,Amar Plaza,125.0,Ready to Move,1,3,Mid
1152,3,Semi-Furnished,3,Anshul Athena,113.0,Ready to Move,5,11,Mid
594,2,Furnished,2,Celebria Apartment,86.0,Ready to Move,1,4,Mid
612,2,Semi-Furnished,2,The Kate Residency,65.0,Ready to Move,4,4,Top
495,1,Unfurnished,1,Arihanta Aastha,41.0,Ready to Move,3,4,Top
403,1,Unfurnished,1,ARK Prem Alfa Homes Phase 2,25.5,Ready to Move,7,8,Top
468,1,Unfurnished,2,Amber Hills,35.0,Ready to Move,1,4,Mid
438,1,Unfurnished,1,Ashirwad Classic,33.0,Ready to Move,2,4,Mid
2160,4,Unfurnished,1,Ashirwad Residency,325.0,Ready to Move,1,5,Low
1058,4,Semi-Furnished,3,Madhu Kamal Apartments,170.0,Ready to Move,2,4,Mid
410,1,Unfurnished,1,Project Atur Nagar,25.0,Ready to Move,4,4,Top
972,3,Semi-Furnished,3,Atur Terraces,150.0,Ready to Move,3,5,Mid
972,3,Furnished,3,Atur Terraces,145.0,Ready to Move,2,5,Mid
418,1,Unfurnished,1,Ekta Residency,30.0,Ready to Move,3,6,Mid
619,2,Unfurnished,2,Bansal City,43.0,Ready to Move,1,6,Low
365,1,Unfurnished,1,Bansal City,30.0,Ready to Move,5,6,Top
616,2,Unfurnished,2,Belvalkar Solacia,38.0,Ready to Move,1,7,Low
846,2,Unfurnished,2,Bhansali Whispering Winds,95.0,Ready to Move,1,7,Low
540,2,Unfurnished,2,Bharucha Collina,25.0,Ready to Move,3,12,Mid
627,2,Unfurnished,2,Bharucha Collina,40.5,Ready to Move,5,11,Mid
612,2,Furnished,2,Krishna Vatika,55.0,Ready to Move,1,6,Low
439,1,Semi-Furnished,1,Bora Planet,51.0,Ready to Move,2,8,Mid
396,1,Semi-Furnished,1,DSK Janhavi,40.0,Ready to Move,1,5,Low
648,2,Semi-Furnished,2,DSK Vidyanagari,78.0,Ready to Move,3,4,Top
720,2,Semi-Furnished,2,Project Kamala City,65.0,Ready to Move,4,7,Mid
436,1,Semi-Furnished,1,Project Kamala City,40.5,Ready to Move,6,6,Top
598,2,Unfurnished,2,Ozone Greens,33.0,Ready to Move,1,4,Mid
387,1,Unfurnished,1,Shiv Classic,29.0,Ready to Move,5,7,Mid
383,1,Unfurnished,1,Shiv Classic,32.0,Ready to Move,5,8,Mid
425,1,Semi-Furnished,1,Shiv Classic,30.0,Ready to Move,7,7,Top
540,2,Unfurnished,2,Project Motiram Nagar,68.0,Ready to Move,2,5,Mid
540,2,Semi-Furnished,2,Balbhim Park,55.0,Ready to Move,5,6,Top
454,1,Unfurnished,1,Sawant Vihar,45.0,Ready to Move,2,6,Mid
976,2,Unfurnished,2,Rahi Emerald,62.0,Ready to Move,5,6,Top
432,2,Furnished,2,Vinayak Park,32.0,Ready to Move,4,5,Top
432,1,Unfurnished,1,Vinayak Park,20.5,Ready to Move,3,4,Top
432,1,Unfurnished,2,Nancy Gardens,36.0,Ready to Move,7,7,Top
400,1,Semi-Furnished,1,Rajyog Society,39.0,Ready to Move,1,3,Mid
398,1,Semi-Furnished,1,Rajyog Society,25.0,Ready to Move,1,4,Mid
720,2,Semi-Furnished,2,Parande Woods,60.0,Ready to Move,9,10,Top
365,1,Unfurnished,1,Sara Orchids,18.0,Ready to Move,12,13,Top
467,1,Furnished,1,Sara Orchids,25.0,Ready to Move,11,13,Top
513,1,Unfurnished,1,Sara Orchids,21.0,Ready to Move,1,13,Low
436,1,Unfurnished,1,Sara Orchids,26.0,Ready to Move,12,13,Top
467,1,Unfurnished,2,Sara Orchids,25.0,Ready to Move,5,12,Mid
631,2,Unfurnished,2,Sarthak Beaulieu,38.5,Ready to Move,9,9,Top
648,2,Unfurnished,2,Tara City,30.0,Ready to Move,3,12,Mid
463,1,Unfurnished,1,Tara City,23.0,Ready to Move,10,12,Top
708,2,Furnished,2,Madhav Nilay,60.0,Ready to Move,4,4,Top
418,1,Semi-Furnished,1,Induban Residency,35.0,Ready to Move,6,9,Mid
446,1,Semi-Furnished,1,Induban Residency,32.0,Ready to Move,3,8,Mid
576,2,Unfurnished,2,Shubh Gloriya,47.0,Ready to Move,1,5,Low
437,1,Unfurnished,1,Sukhwani Palms,32.0,Ready to Move,6,11,Mid
850,2,Semi-Furnished,2,Mayuri Enclave,46.0,Ready to Move,3,8,Mid
738,2,Semi-Furnished,2,Sukhwani Bliss,100.0,Ready to Move,1,7,Low
364,1,Semi-Furnished,1,Shivam Guruvihar,20.0,Ready to Move,4,5,Top
673,2,Furnished,2,Ujjwal High Bliss,61.0,Ready to Move,2,8,Mid
842,3,Unfurnished,2,The Metropolitan,110.0,Ready to Move,11,12,Top
396,1,Unfurnished,1,Krishna Paradise,25.0,Ready to Move,6,13,Mid
421,1,Unfurnished,1,Krishna Paradise,20.5,Ready to Move,4,12,Mid
667,2,Unfurnished,2,Rustic Paradise,60.0,Ready to Move,6,7,Top
396,1,Unfurnished,1,Nandini Atharva,30.0,Ready to Move,3,6,Mid
612,2,Semi-Furnished,1,Rohit Residency,40.0,Ready to Move,5,7,Mid
360,1,Unfurnished,1,Radiant Heights,30.0,Ready to Move,3,5,Mid
605,2,Semi-Furnished,1,Sai Ganesh Dham,30.0,Ready to Move,5,5,Top
446,1,Unfurnished,1,Sahara Apartment,42.0,Ready to Move,4,5,Top
660,2,Semi-Furnished,2,Gulmohar Blossom,69.0,Ready to Move,4,6,Mid
497,1,Unfurnished,1,Chourang Smitshilp,38.0,Ready to Move,1,7,Low
576,2,Furnished,2,Viman Nagar Parijaat Society Carpet Area 576 sqft Status Ready to Move Floor 4 out of 6 Transaction Resale Furnishing Furnished Society Parijaat Society,135.0,Ready to Move,4,6,Mid
479,2,Furnished,2,D9 Popular Nagar,65.0,Ready to Move,3,4,Top
648,2,Unfurnished,2,Shree Hans Garden,62.0,Ready to Move,1,5,Low
580,2,Semi-Furnished,2,Shree Hans Garden,60.0,Ready to Move,2,5,Mid
656,2,Semi-Furnished,2,Shivam Residency,75.0,Ready to Move,1,5,Low
432,1,Unfurnished,1,Tanish Sanskruti,35.0,Ready to Move,5,7,Mid
479,2,Semi-Furnished,1,Akshay Residency,55.0,Ready to Move,4,5,Top
706,2,Semi-Furnished,2,Mahadev Apartments,100.0,Ready to Move,4,5,Top
666,2,Unfurnished,2,Pudumjee Paradise,100.0,Ready to Move,2,4,Mid
450,1,Unfurnished,1,Binawat Residency,30.0,Ready to Move,1,3,Mid
908,2,Semi-Furnished,2,Dimension Heights,48.0,Ready to Move,1,6,Low
709,2,Unfurnished,2,Satyam Greenfields,75.0,Ready to Move,3,7,Mid
407,1,Unfurnished,1,Wagholi Wagheshwar Society Carpet Area 407 sqft Status Ready to Move Floor 3 out of 4 Transaction Resale Furnishing Unfurnished Society Wagheshwar Society,20.0,Ready to Move,3,4,Top
540,1,Semi-Furnished,1,Chandrama Residency,28.0,Ready to Move,1,4,Mid
536,2,Furnished,2,Tirumala Residency,45.0,Ready to Move,4,5,Top
508,2,Unfurnished,2,Tirumala Residency,35.0,Ready to Move,4,5,Top
432,1,Unfurnished,1,Project Amba Nagari,37.0,Ready to Move,2,6,Mid
329,1,Unfurnished,1,Project Amba Nagari,40.0,Ready to Move,2,5,Mid
385,1,Semi-Furnished,1,Amit Colori,32.0,Ready to Move,11,12,Top
360,1,Unfurnished,1,Amit Colori,40.0,Ready to Move,1,10,Low
418,1,Semi-Furnished,1,Amit Colori,32.0,Ready to Move,9,12,Top
326,1,Semi-Furnished,1,Hillock Towers,33.0,Ready to Move,4,11,Mid
610,2,Semi-Furnished,2,Arun Park,55.0,Ready to Move,6,6,Top
614,2,Semi-Furnished,2,Arun Park,55.0,Ready to Move,6,6,Top
440,1,Unfurnished,1,Arun Park,36.0,Ready to Move,5,6,Top
698,2,Semi-Furnished,2,Oxygen Valley,53.0,Ready to Move,7,7,Top
414,1,Semi-Furnished,1,Oxygen Valley,32.0,Ready to Move,1,5,Low
571,2,Unfurnished,1,Laxmi Niwas,70.0,Ready to Move,3,3,Top
675,2,Furnished,2,Belvalkar Chaitrangan,56.0,Ready to Move,2,7,Mid
392,1,Unfurnished,1,Bhakti Darshan,44.0,Ready to Move,2,6,Mid
666,2,Unfurnished,2,Bhakti Enclave,45.0,Ready to Move,1,3,Mid
583,2,Unfurnished,2,Bhakti Paradise,58.0,Ready to Move,2,4,Mid
583,2,Furnished,2,Shraddha Heritage,66.5,Ready to Move,1,3,Mid
600,2,Unfurnished,2,Bharucha Collina,45.0,Ready to Move,2,10,Low
612,2,Semi-Furnished,2,Ujwal Park Apartments,54.4,Ready to Move,1,4,Mid
684,2,Unfurnished,2,Bora Happy Homes,75.0,Ready to Move,1,3,Mid
396,1,Semi-Furnished,1,Bramha Aangan,39.0,Ready to Move,1,4,Mid
734,2,Unfurnished,2,Bramha Aangan Carpet Area 734 sqft Status Ready to Move Floor 1 out of 7 Transaction Resale Furnishing Unfurnished Society Bramha Aangan,75.0,Ready to Move,1,7,Low
1015,3,Unfurnished,3,Bramha Estate,87.0,Ready to Move,6,11,Mid
1080,3,Semi-Furnished,3,Bramha Estate,87.0,Ready to Move,6,11,Mid
893,3,Unfurnished,2,Bramha Estate,95.0,Ready to Move,6,7,Top
392,1,Unfurnished,1,Bibwewadi Vimal Vihar Society Carpet Area 392 sqft Status Ready to Move Floor 2 out of 3 Transaction Resale Furnishing Unfurnished Society Vimal Vihar Society,46.0,Ready to Move,2,3,Mid
616,1,Unfurnished,2,Whitefield Apartments,65.0,Ready to Move,3,8,Mid
907,3,Semi-Furnished,3,Dwarkadheesh Residency,87.0,Ready to Move,1,7,Low
1123,3,Semi-Furnished,3,Shubhashree Residency,105.0,Ready to Move,4,8,Mid
1008,3,Semi-Furnished,2,Bhakti Pride Apartment,80.0,Ready to Move,3,3,Top
576,2,Unfurnished,2,Setpal Karishma Platinum,65.0,Ready to Move,4,4,Top
879,3,Unfurnished,3,Gandharva Nagari Community,60.0,Ready to Move,5,6,Top
396,1,Unfurnished,1,Gandharva Nagari Community,25.0,Ready to Move,6,7,Top
367,1,Semi-Furnished,1,Shreeniwas Greenland County,36.0,Ready to Move,3,5,Mid
443,1,Unfurnished,1,Kamaldeep Gardens,30.0,Ready to Move,3,4,Top
900,3,Semi-Furnished,2,Chandra Nagari,150.0,Ready to Move,3,3,Top
446,1,Unfurnished,1,Moraya Nagari,37.0,Ready to Move,1,4,Mid
406,2,Semi-Furnished,1,Paschimanagari,76.0,Ready to Move,2,4,Mid
785,2,Semi-Furnished,2,Etasha Apartment,50.0,Ready to Move,7,9,Top
718,2,Unfurnished,2,SilverWood,73.5,Ready to Move,2,4,Mid
900,2,Semi-Furnished,2,The Latitude,110.0,Ready to Move,4,12,Mid
864,2,Unfurnished,2,Moghul Garden,200.0,Ready to Move,1,7,Low
792,2,Unfurnished,2,Aawas,52.0,Ready to Move,3,6,Mid
760,2,Furnished,2,Aawas,55.0,Ready to Move,3,4,Top
1289,2,Furnished,2,Olive Orchard,80.0,Ready to Move,1,11,Low
612,2,Unfurnished,2,Olive Orchard,52.0,Ready to Move,2,11,Low
708,2,Unfurnished,2,Nakshatra,60.0,Ready to Move,1,11,Low
618,2,Unfurnished,2,Alfa Landmark,42.0,Ready to Move,8,12,Mid
