Area,Property,Furnished Status,Bathroom,Society,Price,Floor,Status
593,2 BHK,Unfurnished,Bathroom 2,Sai Samarth Residency,56 Lac,2 out of 5,Ready to Move
504,1 BHK,Semi-Furnished,Bathroom 1,Siddhi Samrat Apartment,43 Lac,3 out of 4,Ready to Move
277,1 BHK,Unfurnished,Bathroom 1,Jai Shankar,31 Lac,5 out of 7,Ready to Move
389,1 BHK,Unfurnished,Bathroom 1,Balaji Flat Mundhwa,30 Lac,1 out of 4,Ready to Move
756,2 BHK,Semi-Furnished,Bathroom 2,Florida Estate,80 Lac,6 out of 7,Ready to Move
756,2 BHK,Unfurnished,Bathroom 2,Anandban Apartment,75 Lac,1 out of 5,Ready to Move
425,1 BHK,Unfurnished,Bathroom 1,Chandrabhaga Residency,25 Lac,3 out of 5,Ready to Move
575,2 BHK,Furnished,Bathroom 2,Shitole Empire,63 Lac,1 out of 5,Ready to Move
936,3 BHK,Semi-Furnished,Bathroom 3,JCD Park,1.25 Cr,3 out of 4,Ready to Move
564,2 BHK,Semi-Furnished,Bathroom 2,Kapare Heights,55 Lac,1 out of 4,Ready to Move
441,1 BHK,Unfurnished,Bathroom 1,Sant Sai Apartment,40 Lac,1 out of 5,Ready to Move
396,1 BHK,Unfurnished,Bathroom 1,Samarth Krupa,26 Lac,2 out of 5,Ready to Move
162,1 BHK,Unfurnished,Bathroom 1,Nano Complex,80 Lac,1 out of 5,Ready to Move
432,1 BHK,Semi-Furnished,Bathroom 1,Nav Vrushali,65 Lac,1 out of 3,Ready to Move
360,1 BHK,Unfurnished,Bathroom 1,Little Corner,30 Lac,4 out of 5,Ready to Move
418,1 BHK,Unfurnished,Bathroom 1,Neel Vihar,18.5 Lac,2 out of 4,Ready to Move
385,1 BHK,Unfurnished,Bathroom 1,Parth Darshan,24 Lac,2 out of 6,Ready to Move
868,3 BHK,Unfurnished,Bathroom 2,Tanishka Heights,75 Lac,3 out of 4,Ready to Move
508,1 BHK,Unfurnished,Bathroom 1,Surya Kiran Apartment,55 Lac,3 out of 4,Ready to Move
468,1 BHK,Unfurnished,Bathroom 1,Dwarkadhish Apartment,30 Lac,4 out of 4,Ready to Move
324,1 BHK,Unfurnished,Bathroom 1,Dwarka City,13 Lac,2 out of 3,Ready to Move
672,2 BHK,Unfurnished,Bathroom 2,Todkar Aangan,42 Lac,3 out of 5,Ready to Move
583,2 BHK,Semi-Furnished,Bathroom 2,Chrishh Heights,33 Lac,2 out of 4,Ready to Move
385,1 BHK,Furnished,Bathroom 1,Chaurang Smit Shilp,30 Lac,3 out of 7,Ready to Move
504,1 BHK,Semi-Furnished,Bathroom 1,Bhagyalaxmi Hieghts,52 Lac,2 out of 5,Ready to Move
312,1 BHK,Semi-Furnished,Bathroom 1,Bhagwati Residency,21 Lac,2 out of 5,Ready to Move
842,2 BHK,Semi-Furnished,Bathroom 2,Shalimar Apartment,95 Lac,3 out of 4,Ready to Move
403,1 BHK,Unfurnished,Bathroom 1,Bhakti Residency,20 Lac,5 out of 5,Ready to Move
367,1 BHK,Unfurnished,Bathroom 1,Athashree Landmark,22 Lac,4 out of 5,Ready to Move
472,1 BHK,Semi-Furnished,Bathroom 1,Pavani Paradise,34 Lac,4 out of 4,Ready to Move
522,1 BHK,Semi-Furnished,Bathroom 1,Pranayraj Garden,40 Lac,3 out of 3,Ready to Move
393,1 BHK,Unfurnished,Bathroom 1,Lakshmi Kamal Palace,21 Lac,1 out of 6,Ready to Move
605,2 BHK,Unfurnished,Bathroom 2,Ustav,44 Lac,1 out of 4,Ready to Move
396,1 BHK,Semi-Furnished,Bathroom 1,Yashwant Apartment,48 Lac,2 out of 4,Ready to Move
700,2 BHK,Unfurnished,Bathroom 2,Yashwant Nagar,50 Lac,4 out of 5,Ready to Move
425,1 BHK,Unfurnished,Bathroom 1,Joshi Apartment,35 Lac,2 out of 4,Ready to Move
239,1 BHK,Unfurnished,Bathroom 1,Hadapsar Vaishnavi Mahila Society Carpet Area 239 sqft Status Ready to Move Floor 1 out of 4 Transaction Resale Furnishing Unfurnished Society Vaishnavi Mahila Society,12 Lac,1 out of 4,Ready to Move
396,1 BHK,Unfurnished,Bathroom 1,Kunal Homes,32 Lac,3 out of 4,Ready to Move
634,2 BHK,Unfurnished,Bathroom 2,Glorious Park,55 Lac,4 out of 7,Ready to Move
251,1 BHK,Unfurnished,Bathroom 2,Maple Aapla Ghar Urli Kanchan Lakeside,25 Lac,7 out of 8,Ready to Move
458,1 BHK,Unfurnished,Bathroom 1,Swastik Diamond Rockk,45 Lac,4 out of 13,Ready to Move
612,2 BHK,Unfurnished,Bathroom 1,Prathamesh Residency,48 Lac,1 out of 5,Ready to Move
395,1 BHK,Unfurnished,Bathroom 1,Venkateshwara Silver Nest,17 Lac,2 out of 3,Ready to Move
914,2 BHK,Unfurnished,Bathroom 2,Silver Gardenia,90 Lac,6 out of 12,Ready to Move
432,2 BHK,Semi-Furnished,Bathroom 2,Somani Dream Home Phase II,42 Lac,8 out of 13,Ready to Move
468,1 BHK,Unfurnished,Bathroom 1,ASR 18 Nests,45 Lac,2 out of 8,Ready to Move
662,2 BHK,Unfurnished,Bathroom 2,Ikon Krishna Dham,60 Lac,4 out of 6,Ready to Move
432,1 BHK,Semi-Furnished,Bathroom 2,GK Rose Mansion,36.5 Lac,10 out of 10,Ready to Move
430,1 BHK,Unfurnished,Bathroom 2,Amrutkalash,22 Lac,4 out of 5,Ready to Move
747,2 BHK,Semi-Furnished,Bathroom 2,Avior Aatman,99 Lac,11 out of 12,Ready to Move
360,1 BHK,Unfurnished,Bathroom 1,Gurukrupa Terrace,35 Lac,2 out of 3,Ready to Move
511,1 BHK,Furnished,Bathroom 2,Kunal Apartment,60 Lac,1 out of 3,Ready to Move
648,2 BHK,Semi-Furnished,Bathroom 2,Shri Shree Tuljabhavani,59 Lac,3 out of 8,Ready to Move
562,2 BHK,Unfurnished,Bathroom 2,Manav Wild Woods,53 Lac,1 out of 14,Ready to Move
360,1 BHK,Semi-Furnished,Bathroom 1,Shree Krishna Heights,35 Lac,3 out of 4,Ready to Move
997,3 BHK,Semi-Furnished,Bathroom 2,Suryakant Kakade City,1.40 Cr,1 out of 11,Ready to Move
360,1 BHK,Semi-Furnished,Bathroom 1,Austin Vallabh,38 Lac,2 out of 8,Ready to Move
515,1 BHK,Unfurnished,Bathroom 1,Sukhwani Woods,45 Lac,4 out of 6,Ready to Move
665,2 BHK,Semi-Furnished,Bathroom 2,Kolte Patil Life Republic Sector R16 16th Avenue Arezo F Building,65 Lac,13 out of 22,Ready to Move
572,2 BHK,Unfurnished,Bathroom 2,Jain Towers,35 Lac,5 out of 8,Ready to Move
775,2 BHK,Unfurnished,Bathroom 2,Govardhan Anandban,66 Lac,3 out of 6,Ready to Move
364,1 BHK,Semi-Furnished,Bathroom 1,Akshay Yashshree,26 Lac,2 out of 5,Ready to Move
468,1 BHK,Unfurnished,Bathroom 2,Five Elements Shubharambh,36 Lac,6 out of 13,Ready to Move
454,2 BHK,Unfurnished,Bathroom 2,Palaash 24,41.5 Lac,5 out of 8,Ready to Move
497,2 BHK,Furnished,Bathroom 1,Mantra Insignia Phase 3,54 Lac,7 out of 14,Ready to Move
857,3 BHK,Unfurnished,Bathroom 4,Samruddhi Heights CHS,50 Lac,4 out of 5,Ready to Move
540,2 BHK,Unfurnished,Bathroom 1,Samarth Sunako Heights,75 Lac,2 out of 6,Ready to Move
504,2 BHK,Unfurnished,Bathroom 2,Bala Sai Rose View Residency,29 Lac,2 out of 5,Ready to Move
396,1 BHK,Unfurnished,Bathroom 1,Saikrupa Vishwakalyan Nagri,17 Lac,5 out of 5,Ready to Move
584,2 BHK,Semi-Furnished,Bathroom 2,Karhans Sanidhya,62 Lac,2 out of 3,Ready to Move
626,2 BHK,Semi-Furnished,Bathroom 2,Samruddhi Arihant Heights,57 Lac,1 out of 8,Ready to Move
418,1 BHK,Unfurnished,Bathroom 1,Prajol Aashiyana,31 Lac,1 out of 6,Ready to Move
1037,3 BHK,Unfurnished,Bathroom 3,Nilharsh Dwarka,94 Lac,2 out of 8,Ready to Move
418,1 BHK,Semi-Furnished,Bathroom 2,Intella Vardhaman Gold,21 Lac,1 out of 4,Ready to Move
497,1 BHK,Semi-Furnished,Bathroom 1,Samrat Atharva Patson Phinix PH II,28 Lac,1 out of 4,Ready to Move
432,1 BHK,Semi-Furnished,Bathroom 1,Vighnaharta Sankul,30 Lac,4 out of 7,Ready to Move
598,2 BHK,Unfurnished,Bathroom 2,Ayush River Park View,60 Lac,4 out of 8,Ready to Move
792,2 BHK,Unfurnished,Bathroom 2,Tuljai Residency,50 Lac,5 out of 9,Ready to Move
219,1 BHK,Unfurnished,Bathroom 1,Dhanalaxmi Swayambhu Heights,11.8 Lac,1 out of 4,Ready to Move
432,1 BHK,Unfurnished,Bathroom 1,Amcon Orchids,35 Lac,1 out of 5,Ready to Move
380,1 BHK,Unfurnished,Bathroom 1,Lodha Belmondo Augusta,70 Lac,6 out of 9,Ready to Move
418,1 BHK,Unfurnished,Bathroom 1,Smart Avenue,33 Lac,4 out of 5,Ready to Move
572,2 BHK,Semi-Furnished,Bathroom 2,Nirmitee Shubhyog,44 Lac,3 out of 13,Ready to Move
522,2 BHK,Semi-Furnished,Bathroom 2,Gokul Dham,32 Lac,3 out of 3,Ready to Move
468,1 BHK,Semi-Furnished,Bathroom 1,Kamal Kanha Apartment,40 Lac,2 out of 5,Ready to Move
483,2 BHK,Unfurnished,Bathroom 1,Park Avenue,42 Lac,6 out of 7,Ready to Move
639,2 BHK,Unfurnished,Bathroom 2,Green Homes Apartment,52 Lac,4 out of 5,Ready to Move
461,1 BHK,Semi-Furnished,Bathroom 1,Chandrabhaga Apartment,28 Lac,2 out of 5,Ready to Move
706,2 BHK,Furnished,Bathroom 2,Prasanna Paradise Apartment,65 Lac,2 out of 5,Ready to Move
468,1 BHK,Unfurnished,Bathroom 2,Saudagar Nagri CHS,45 Lac,2 out of 2,Ready to Move
407,1 BHK,Unfurnished,Bathroom 1,Chrishh Basera,22 Lac,3 out of 4,Ready to Move
1080,3 BHK,Furnished,Bathroom 3,Runwal Snehanjali,1.10 Cr,1 out of 6,Ready to Move
713,2 BHK,Unfurnished,Bathroom 2,Mauli Lipane Opulence,50 Lac,2 out of 12,Ready to Move
684,2 BHK,Furnished,Bathroom 2,Sahajanand Apartment,46 Lac,4 out of 5,Ready to Move
468,1 BHK,Semi-Furnished,Bathroom 1,Shree DS Homes,42 Lac,1 out of 6,Ready to Move
619,2 BHK,Unfurnished,Bathroom 2,Oriental Gold Apartment,70 Lac,1 out of 3,Ready to Move
584,2 BHK,Unfurnished,Bathroom 2,Karhans Sanidhya,58 Lac,2 out of 5,Ready to Move
972,4 BHK,Semi-Furnished,Bathroom 3,Gokuldham Society,45 Lac,Ground out of 4,Ready to Move
468,1 BHK,Unfurnished,Bathroom 2,Nexus Meridian,39 Lac,1 out of 10,Ready to Move
468,1 BHK,Unfurnished,Bathroom 1,Kumar Omkar Shree,31 Lac,2 out of 4,Ready to Move
402,1 BHK,Unfurnished,Bathroom 1,Reputed Motiram Nagar,52 Lac,5 out of 6,Ready to Move
360,1 BHK,Unfurnished,Bathroom 1,Apple Glory,25.5 Lac,3 out of 3,Ready to Move
263,1 BHK,Unfurnished,Bathroom 1,Tanish Bhakti,20 Lac,11 out of 11,Ready to Move
396,1 BHK,Unfurnished,Bathroom 1,Katraj Pratibha Housing Society Carpet Area 396 sqft Status Ready to Move Floor 1 out of 4 Transaction Resale Furnishing Unfurnished Society Pratibha Housing Society,40 Lac,1 out of 4,Ready to Move
900,2 BHK,Furnished,Bathroom 2,Clover Heights,1.30 Cr,6 out of 12,Ready to Move
648,2 BHK,Furnished,Bathroom 2,Legacy Celestia,80 Lac,10 out of 13,Ready to Move
598,2 BHK,Semi-Furnished,Bathroom 2,Jhala Group Simplicity,36.5 Lac,3 out of 4,Ready to Move
864,3 BHK,Furnished,Bathroom 3,Arnav Dopioo,50 Lac,4 out of 4,Ready to Move
749,3 BHK,Unfurnished,Bathroom 3,Soham Shitole Heights,1.35 Cr,1 out of 11,Ready to Move
418,1 BHK,Unfurnished,Bathroom 1,Prajol Aashiyana,31 Lac,1 out of 6,Ready to Move
396,1 BHK,Unfurnished,Bathroom 1,Miracle Mathura,30 Lac,3 out of 5,Ready to Move
941,2 BHK,Unfurnished,Bathroom 2,Nilharsh Dwarka,83 Lac,3 out of 8,Ready to Move
390,1 BHK,Unfurnished,Bathroom 1,Anubandh Residency,20 Lac,4 out of 5,Ready to Move
564,2 BHK,Semi-Furnished,Bathroom 1,Kamalraj Datta Vihar Central,40 Lac,7 out of 11,Ready to Move
798,3 BHK,Semi-Furnished,Bathroom 2,Xrbia Riverfront,35 Lac,5 out of 9,Ready to Move
331,1 BHK,Semi-Furnished,Bathroom 1,KUL Ecoloch Delight,46 Lac,7 out of 9,Ready to Move
784,2 BHK,Unfurnished,Bathroom 2,Swanand,89 Lac,5 out of 7,Ready to Move
331,1 BHK,Furnished,Bathroom 1,Kamala Park,40 Lac,2 out of 5,Ready to Move
