Area,Property,Furnished Status,Bathroom,Society,Price,Floor,Status
479,1 BHK,Semi-Furnished,Bathroom 2,Kamalraj Hari Dwar,68 Lac,7 out of 10,Ready to Move
653,2 BHK,Unfurnished,Bathroom 2,J D Green Paradise,45 Lac,4 out of 4,Ready to Move
899,3 BHK,Furnished,Bathroom 3,Lakeshore Residency,60 Lac,3 out of 4,Ready to Move
787,2 BHK,Unfurnished,Bathroom 2,Mango Woods,70 Lac,7 out of 9,Ready to Move
544,1 BHK,Semi-Furnished,Bathroom 1,Urban Forest,40 Lac,2 out of 8,Ready to Move
302,1 BHK,Unfurnished,Bathroom 1,Ram India Livogue Lifestyle in Vogue,46 Lac,3 out of 14,Ready to Move
570,2 BHK,Semi-Furnished,Bathroom 2,Sky Lights,40 Lac,1 out of 13,Ready to Move
824,2 BHK,Semi-Furnished,Bathroom 2,Zoa,75 Lac,6 out of 8,Ready to Move
495,1 BHK,Unfurnished,Bathroom 2,Polite Panorama,35 Lac,4 out of 9,Ready to Move
482,1 BHK,Semi-Furnished,Bathroom 2,Polite Panorama,34 Lac,6 out of 11,Ready to Move
385,1 BHK,Semi-Furnished,Bathroom 2,Polite Panorama,35 Lac,8 out of 9,Ready to Move
864,2 BHK,Semi-Furnished,Bathroom 2,Royal Orange County,95 Lac,5 out of 12,Ready to Move
659,2 BHK,Unfurnished,Bathroom 2,Dreams Wisteria,34 Lac,6 out of 10,Ready to Move
667,2 BHK,Semi-Furnished,Bathroom 2,Giriraj Heights,52 Lac,6 out of 6,Ready to Move
667,2 BHK,Semi-Furnished,Bathroom 2,Giriraj Heights,52 Lac,6 out of 6,Ready to Move
799,2 BHK,Unfurnished,Bathroom 2,Ganga Aurum Park,69 Lac,4 out of 12,Ready to Move
749,2 BHK,Unfurnished,Bathroom 2,Ganga Estoria,58 Lac,9 out of 11,Ready to Move
461,1 BHK,Unfurnished,Bathroom 1,Aero Nest,30 Lac,8 out of 8,Ready to Move
382,1 BHK,Unfurnished,Bathroom 1,Amanora Park Township,47 Lac,6 out of 19,Ready to Move
335,1 BHK,Furnished,Bathroom 1,Amanora Park Township,35 Lac,1 out of 21,Ready to Move
601,2 BHK,Semi-Furnished,Bathroom 2,11K County,40 Lac,6 out of 9,Ready to Move
577,2 BHK,Semi-Furnished,Bathroom 2,Aryavedant Residency,51 Lac,4 out of 5,Ready to Move
577,2 BHK,Semi-Furnished,Bathroom 2,Aryavedant Residency,55 Lac,4 out of 5,Ready to Move
479,1 BHK,Unfurnished,Bathroom 1,Shiv Sai Vishwa,53 Lac,8 out of 8,Ready to Move
674,2 BHK,Unfurnished,Bathroom 2,Belvalkar Solacia,55 Lac,2 out of 7,Ready to Move
1210,3 BHK,Furnished,Bathroom 3,Belvalkar Solacia,1.20 Cr,11 out of 11,Ready to Move
507,1 BHK,Unfurnished,Bathroom 1,Ivory,30 Lac,5 out of 6,Ready to Move
420,1 BHK,Unfurnished,Bathroom 1,Ivory,26 Lac,4 out of 5,Ready to Move
1008,2 BHK,Semi-Furnished,Bathroom 2,Mavens Viaan,48 Lac,2 out of 11,Ready to Move
868,2 BHK,Furnished,Bathroom 2,Dharamshi Signature,68 Lac,1 out of 5,Ready to Move
497,1 BHK,Semi-Furnished,Bathroom 1,Dhavel Shivtirth,35 Lac,1 out of 4,Ready to Move
710,2 BHK,Unfurnished,Bathroom 2,Bhalchandra Nagri,66 Lac,8 out of 12,Ready to Move
875,3 BHK,Semi-Furnished,Bathroom 3,Revell Orchid II,70 Lac,7 out of 12,Ready to Move
922,3 BHK,Semi-Furnished,Bathroom 2,Urban Forest,1 Cr,3 out of 9,Ready to Move
439,1 BHK,Unfurnished,Bathroom 1,Sampanna Homes,23 Lac,6 out of 7,Ready to Move
713,2 BHK,Unfurnished,Bathroom 2,Ozone Apartments,45 Lac,1 out of 6,Ready to Move
504,1 BHK,Semi-Furnished,Bathroom 2,Ozone Apartments,33 Lac,5 out of 6,Ready to Move
701,2 BHK,Semi-Furnished,Bathroom 2,Ozone Apartments,52 Lac,1 out of 7,Ready to Move
844,2 BHK,Unfurnished,Bathroom 2,TATA La Montana Phase 1,60 Lac,8 out of 10,Ready to Move
576,1 BHK,Unfurnished,Bathroom 1,Sovereign,38 Lac,5 out of 12,Ready to Move
1404,4 BHK,Furnished,Bathroom 3,Bhaveshwar Height,95 Lac,5 out of 13,Ready to Move
1044,2 BHK,Semi-Furnished,Bathroom 2,Festival Apartments,85 Lac,1 out of 3,Ready to Move
790,2 BHK,,Bathroom 2,Shri Sai Hills,41 Lac,7 out of 7,Ready to Move
587,2 BHK,Unfurnished,Bathroom 2,Kishor Shubhankar Heights,85 Lac,1 out of 7,Ready to Move
737,2 BHK,Semi-Furnished,Bathroom 2,Sai Miracle,65 Lac,3 out of 7,Ready to Move
1080,3 BHK,Furnished,Bathroom 3,Bhansali Campus,90 Lac,1 out of 7,Ready to Move
586,2 BHK,Semi-Furnished,Bathroom 2,Kesar Kingdom,70 Lac,9 out of 13,Ready to Move
445,1 BHK,Furnished,Bathroom 1,Saarrthi Souvenir,55 Lac,12 out of 12,Ready to Move
427,2 BHK,Unfurnished,Bathroom 2,Shree Ganesh Park,27 Lac,7 out of 7,Ready to Move
630,2 BHK,Furnished,Bathroom 2,Castle Royale,65 Lac,1 out of 5,Ready to Move
612,2 BHK,Furnished,Bathroom 2,Castle Royale,60 Lac,2 out of 3,Ready to Move
684,2 BHK,Unfurnished,Bathroom 2,Kedareshwar Residency,43 Lac,4 out of 5,Ready to Move
474,1 BHK,Unfurnished,Bathroom 1,D S Srushti,32 Lac,7 out of 7,Ready to Move
864,3 BHK,Furnished,Bathroom 3,Tanish Orchid,85 Lac,12 out of 12,Ready to Move
626,2 BHK,Unfurnished,Bathroom 2,Village Residency 1,38 Lac,2 out of 4,Ready to Move
626,2 BHK,Unfurnished,Bathroom 2,Village Residency 1,30 Lac,4 out of 4,Ready to Move
462,1 BHK,Unfurnished,Bathroom 1,Verdura,29.9 Lac,2 out of 7,Ready to Move
462,1 BHK,Unfurnished,Bathroom 1,Verdura,30 Lac,4 out of 7,Ready to Move
432,1 BHK,Unfurnished,Bathroom 1,Nirman Brookefield Willows,41 Lac,1 out of 3,Ready to Move
346,1 BHK,Unfurnished,Bathroom 1,Nirman Brookefield Willows,34 Lac,1 out of 10,Ready to Move
436,1 BHK,Unfurnished,Bathroom 1,Silver Hills,35 Lac,3 out of 11,Ready to Move
900,2 BHK,Semi-Furnished,Bathroom 3,Mirchandani Bellagio,87 Lac,6 out of 6,Ready to Move
713,2 BHK,Unfurnished,Bathroom 2,Orchids Lake View,36 Lac,6 out of 6,Ready to Move
690,2 BHK,Furnished,Bathroom 2,Gloria,55 Lac,4 out of 13,Ready to Move
515,1 BHK,Semi-Furnished,Bathroom 1,Gloria,35 Lac,4 out of 13,Ready to Move
690,2 BHK,Unfurnished,Bathroom 2,Gloria,51 Lac,8 out of 13,Ready to Move
690,2 BHK,Unfurnished,Bathroom 2,Gloria,50 Lac,10 out of 13,Ready to Move
504,1 BHK,Semi-Furnished,Bathroom 1,Kesar Valley,34 Lac,2 out of 10,Ready to Move
1008,3 BHK,Unfurnished,Bathroom 3,Vaarahi,1.30 Cr,10 out of 12,Ready to Move
1152,3 BHK,Semi-Furnished,Bathroom 3,Vaarahi,1.20 Cr,10 out of 12,Ready to Move
673,2 BHK,Furnished,Bathroom 2,Sonigara Blue Dice,56 Lac,2 out of 11,Ready to Move
1012,3 BHK,Unfurnished,Bathroom 2,Sai Darshan,60 Lac,2 out of 4,Ready to Move
432,1 BHK,Semi-Furnished,Bathroom 1,Mega Polis Splendour and Sparklet Smart Homes,42 Lac,4 out of 17,Ready to Move
745,2 BHK,Furnished,Bathroom 2,Shri Sai 7th Heaven,70 Lac,5 out of 11,Ready to Move
702,2 BHK,Unfurnished,Bathroom 2,Shri Sai 7th Heaven,62 Lac,1 out of 11,Ready to Move
394,1 BHK,Semi-Furnished,Bathroom 1,Shree Om Apartment,28.5 Lac,2 out of 3,Ready to Move
406,1 BHK,Semi-Furnished,Bathroom 1,Pratham Yash Residency,30 Lac,6 out of 8,Ready to Move
511,2 BHK,Furnished,Bathroom 2,Pratham Yash Residency,58.9 Lac,1 out of 12,Ready to Move
396,1 BHK,Unfurnished,Bathroom 1,Vaishnavi Park,16 Lac,1 out of 5,Ready to Move
490,2 BHK,Furnished,Bathroom 2,Tanishq Apartment,65 Lac,2 out of 6,Ready to Move
482,1 BHK,Unfurnished,Bathroom 2,Silver Oak,45 Lac,6 out of 8,Ready to Move
756,2 BHK,Furnished,Bathroom 2,Shree Ram Classic,65 Lac,1 out of 4,Ready to Move
802,2 BHK,Unfurnished,Bathroom 2,Highway Bliss,73 Lac,8 out of 11,Ready to Move
778,2 BHK,Unfurnished,Bathroom 2,Sukhwani Campus,1.10 Cr,1 out of 7,Ready to Move
612,2 BHK,Unfurnished,Bathroom 2,Sneha Plaza,65 Lac,3 out of 3,Ready to Move
612,2 BHK,Semi-Furnished,Bathroom 2,Sneha Plaza,75 Lac,3 out of 3,Ready to Move
698,2 BHK,Semi-Furnished,Bathroom 2,Shreeyog,75 Lac,1 out of 5,Ready to Move
670,2 BHK,Unfurnished,Bathroom 2,Shravani Residency,70 Lac,1 out of 4,Ready to Move
569,2 BHK,Unfurnished,Bathroom 1,Shivyog Residency,62 Lac,3 out of 4,Ready to Move
360,1 BHK,Semi-Furnished,Bathroom 1,Shivneri Apartment,31 Lac,4 out of 4,Ready to Move
655,2 BHK,Unfurnished,Bathroom 2,Samarth Carina,58 Lac,10 out of 11,Ready to Move
576,1 BHK,,Bathroom 1,Harshal Height,44 Lac,3 out of 6,Ready to Move
535,2 BHK,Unfurnished,Bathroom 1,Geetai Angan,60 Lac,5 out of 7,Ready to Move
958,3 BHK,Semi-Furnished,Bathroom 2,Gagan Vihar,1.80 Cr,4 out of 12,Ready to Move
925,3 BHK,Unfurnished,Bathroom 3,Dev City Complex,78 Lac,6 out of 7,Ready to Move
720,2 BHK,Semi-Furnished,Bathroom 2,Advika Phase I,60 Lac,1 out of 8,Ready to Move
540,2 BHK,Unfurnished,Bathroom 2,Advika Phase I,45 Lac,5 out of 7,Ready to Move
654,2 BHK,Semi-Furnished,Bathroom 2,Suvidha Nisarg,35 Lac,4 out of 11,Ready to Move
493,1 BHK,Unfurnished,Bathroom 1,Suvidha Nisarg,23 Lac,1 out of 12,Ready to Move
1008,3 BHK,Semi-Furnished,Bathroom 2,Sukhwani Emerald,1.20 Cr,10 out of 12,Ready to Move
906,2 BHK,Semi-Furnished,Bathroom 2,Awani Elegance,1.05 Cr,2 out of 4,Ready to Move
438,1 BHK,Unfurnished,Bathroom 1,Palm Ville,45 Lac,3 out of 4,Ready to Move
540,2 BHK,Furnished,Bathroom 2,Sahil Om Park,45 Lac,3 out of 12,Ready to Move
627,2 BHK,Unfurnished,Bathroom 2,Sahil Om Park,44 Lac,11 out of 11,Ready to Move
447,2 BHK,Unfurnished,Bathroom 2,Sahil Om Park,44 Lac,10 out of 11,Ready to Move
655,2 BHK,Semi-Furnished,Bathroom 2,Manjari Greens 5,64 Lac,5 out of 10,Ready to Move
486,2 BHK,Unfurnished,Bathroom 1,Sai Enclave,27 Lac,1 out of 4,Ready to Move
493,2 BHK,Unfurnished,Bathroom 2,Sai Enclave,27 Lac,1 out of 6,Ready to Move
403,1 BHK,Semi-Furnished,Bathroom 1,Success Towers,70 Lac,2 out of 3,Ready to Move
389,1 BHK,Unfurnished,Bathroom 1,Shree Ganesh Apartment,33 Lac,3 out of 6,Ready to Move
720,2 BHK,Semi-Furnished,Bathroom 2,Samruddhi Angan,40 Lac,4 out of 5,Ready to Move
475,1 BHK,Semi-Furnished,Bathroom 1,D S Srushti,36 Lac,7 out of 8,Ready to Move
475,1 BHK,Unfurnished,Bathroom 1,D S Srushti,32 Lac,5 out of 7,Ready to Move
745,2 BHK,Furnished,Bathroom 2,Legacy Square,75 Lac,9 out of 11,Ready to Move
835,2 BHK,Unfurnished,Bathroom 2,Nivrutti Heights,75 Lac,Ground out of 3,Ready to Move
489,1 BHK,Semi-Furnished,Bathroom 1,Rajveer Galaxy,41 Lac,3 out of 6,Ready to Move
626,2 BHK,Furnished,Bathroom 2,J P Homes,58 Lac,6 out of 10,Ready to Move
593,2 BHK,Unfurnished,Bathroom 2,Kamalraj Balaji Residency,45 Lac,2 out of 7,Ready to Move
508,1 BHK,Unfurnished,Bathroom 2,Modern Pride Apartment,65 Lac,4 out of 6,Ready to Move
576,2 BHK,Semi-Furnished,Bathroom 2,Tanish Sai Kunj,45 Lac,6 out of 7,Ready to Move
468,1 BHK,Semi-Furnished,Bathroom 1,Moraya Krushna Nagari,27 Lac,5 out of 11,Ready to Move
468,1 BHK,Semi-Furnished,Bathroom 1,Moraya Krushna Nagari,30 Lac,10 out of 12,Ready to Move
439,1 BHK,Semi-Furnished,Bathroom 1,Sai Shreya Park,25.5 Lac,5 out of 5,Ready to Move
369,1 BHK,Furnished,Bathroom 1,Vasanti Apartment,42.5 Lac,1 out of 6,Ready to Move
403,1 BHK,Semi-Furnished,Bathroom 1,Ujwal Terraces,36 Lac,6 out of 7,Ready to Move
335,1 BHK,Unfurnished,Bathroom 1,Ujwal Terraces,23.3 Lac,Ground out of 1,Ready to Move
594,2 BHK,Unfurnished,Bathroom 2,Trimurti Chandranil Apartment,35 Lac,2 out of 5,Ready to Move
435,1 BHK,Unfurnished,Bathroom 1,Sumit Avenue,23 Lac,2 out of 5,Ready to Move
648,2 BHK,Unfurnished,Bathroom 2,Sumangal Shiv Sparsh,60 Lac,1 out of 4,Ready to Move
716,2 BHK,Unfurnished,Bathroom 1,Om Namo Residency,37 Lac,1 out of 4,Ready to Move
770,2 BHK,Semi-Furnished,Bathroom 2,Nilkanth Apartment,75 Lac,4 out of 9,Ready to Move
382,1 BHK,Unfurnished,Bathroom 1,Muktangan Apartment,30 Lac,3 out of 4,Ready to Move
403,1 BHK,Unfurnished,Bathroom 1,Gurudatta Apartment,25 Lac,3 out of 5,Ready to Move
648,2 BHK,Semi-Furnished,Bathroom 2,Ganesh Nakshtram,52 Lac,6 out of 9,Ready to Move
913,2 BHK,Semi-Furnished,Bathroom 2,Dharmavat Sunder Sankul,70 Lac,3 out of 5,Ready to Move
515,2 BHK,Semi-Furnished,Bathroom 1,Ananta Heights,35 Lac,4 out of 4,Ready to Move
456,1 BHK,Unfurnished,Bathroom 2,Vishal Vastu Apartment,35 Lac,1 out of 5,Ready to Move
360,1 BHK,Unfurnished,Bathroom 1,Shree Parvati Apartment,18 Lac,1 out of 7,Ready to Move
554,2 BHK,Semi-Furnished,Bathroom 3,Vastu Apartment,36 Lac,3 out of 4,Ready to Move
351,1 BHK,Semi-Furnished,Bathroom 1,Shree Balaji Complex,25 Lac,1 out of 4,Ready to Move
606,2 BHK,Furnished,Bathroom 2,Shree Balaji Complex,65 Lac,3 out of 10,Ready to Move
468,1 BHK,Unfurnished,Bathroom 1,Sandesh Sahakari CHS,45 Lac,5 out of 5,Ready to Move
496,1 BHK,Unfurnished,Bathroom 1,Sandesh Sahakari CHS,55 Lac,5 out of 5,Ready to Move
720,3 BHK,Semi-Furnished,Bathroom 2,Royal Arcade Apartment,90 Lac,2 out of 6,Ready to Move
432,1 BHK,Furnished,Bathroom 1,Raut Baug Apartment,40 Lac,2 out of 4,Ready to Move
576,2 BHK,Furnished,Bathroom 3,Raut Baug Apartment,60 Lac,Ground out of 4,Ready to Move
504,1 BHK,Semi-Furnished,Bathroom 1,Mayureshwar Heights CHS,52 Lac,3 out of 5,Ready to Move
404,1 BHK,Furnished,Bathroom 1,Manav Mandir Apartment,52 Lac,3 out of 4,Ready to Move
396,1 BHK,Semi-Furnished,Bathroom 1,Classic Garden CHS,28 Lac,1 out of 6,Ready to Move
536,1 BHK,Unfurnished,Bathroom 2,Classic Garden CHS,45 Lac,4 out of 5,Ready to Move
540,1 BHK,Semi-Furnished,Bathroom 2,Saraswati Apartment,25 Lac,2 out of 3,Ready to Move
1314,3 BHK,Unfurnished,Bathroom 3,Chintamani Labhde Prestige,2.75 Cr,3 out of 6,Ready to Move
439,1 BHK,Unfurnished,Bathroom 1,Vikaskaran Sunrise Villa,42 Lac,5 out of 7,Ready to Move
442,1 BHK,Unfurnished,Bathroom 1,Vikaskaran Sunrise Villa,40 Lac,5 out of 7,Ready to Move
441,1 BHK,Unfurnished,Bathroom 1,Rohit Park II,42 Lac,4 out of 7,Ready to Move
600,2 BHK,Unfurnished,Bathroom 2,Rohit Park II,52 Lac,2 out of 7,Ready to Move
792,2 BHK,Unfurnished,Bathroom 2,Shree Nanda Classic,70 Lac,1 out of 8,Ready to Move
418,1 BHK,Semi-Furnished,Bathroom 1,Bandal Hari Om Plaza,30 Lac,2 out of 4,Ready to Move
648,2 BHK,Unfurnished,Bathroom 1,Shiv Shakti Apartment,35 Lac,4 out of 5,Ready to Move
540,1 BHK,Unfurnished,Bathroom 1,Savli Apartment,25 Lac,7 out of 10,Ready to Move
398,1 BHK,Semi-Furnished,Bathroom 1,Sasane Hingane Township CHS,24 Lac,1 out of 4,Ready to Move
446,1 BHK,Semi-Furnished,Bathroom 1,Vaishnavi Valencia,23 Lac,4 out of 5,Ready to Move
504,1 BHK,Semi-Furnished,Bathroom 1,Shiv The Laurels,52.5 Lac,7 out of 7,Ready to Move
438,1 BHK,Unfurnished,Bathroom 1,Samarth Apartment,27 Lac,4 out of 6,Ready to Move
432,1 BHK,Semi-Furnished,Bathroom 2,Samarth Apartment,32 Lac,4 out of 5,Ready to Move
439,1 BHK,Unfurnished,Bathroom 1,Om Apartment,33 Lac,3 out of 3,Ready to Move
429,1 BHK,Semi-Furnished,Bathroom 1,Moreshwar Apartment,26 Lac,1 out of 4,Ready to Move
569,2 BHK,Semi-Furnished,Bathroom 2,Maple Leaf,68 Lac,1 out of 3,Ready to Move
526,2 BHK,Furnished,Bathroom 1,Lakshmi Narayan Park,57 Lac,2 out of 7,Ready to Move
540,2 BHK,Furnished,Bathroom 1,Krushnakunj Apartment,35 Lac,4 out of 4,Ready to Move
410,1 BHK,Unfurnished,Bathroom 1,Kanhaiya Complex,25 Lac,4 out of 6,Ready to Move
403,1 BHK,Semi-Furnished,Bathroom 1,Chandrama Prestige,30 Lac,1 out of 6,Ready to Move
306,1 BHK,Unfurnished,Bathroom 1,Chandrama Prestige,15 Lac,3 out of 6,Ready to Move
400,1 BHK,Unfurnished,Bathroom 2,Vastu Viram,55 Lac,4 out of 4,Ready to Move
396,1 BHK,Unfurnished,Bathroom 1,Sai Vihar Aprtment,29.5 Lac,3 out of 4,Ready to Move
505,1 BHK,Furnished,Bathroom 1,Durvakur Apartment,35 Lac,3 out of 4,Ready to Move
648,1 BHK,Unfurnished,Bathroom 1,Chaurang Residency,35 Lac,1 out of 6,Ready to Move
554,2 BHK,Semi-Furnished,Bathroom 1,Chaitanya Society,45 Lac,2 out of 5,Ready to Move
484,1 BHK,Unfurnished,Bathroom 1,Canary Nest Apartment,40 Lac,3 out of 3,Ready to Move
792,2 BHK,Unfurnished,Bathroom 2,Audumbar Apartment,65 Lac,1 out of 8,Ready to Move
459,1 BHK,Unfurnished,Bathroom 1,Audumbar Apartment,50 Lac,5 out of 6,Ready to Move
302,1 BHK,Unfurnished,Bathroom 1,Audumbar Apartment,27 Lac,2 out of 8,Ready to Move
702,3 BHK,Unfurnished,Bathroom 2,Ambience Residency,60 Lac,3 out of 6,Ready to Move
605,1 BHK,Semi-Furnished,Bathroom 1,Shri Hari Krupa,48 Lac,4 out of 5,Ready to Move
806,2 BHK,Semi-Furnished,Bathroom 2,Anmol Nayantara Heights,1.50 Cr,2 out of 8,Ready to Move
432,2 BHK,Unfurnished,Bathroom 1,Pawar Heights,45 Lac,Ground out of 5,Ready to Move
680,2 BHK,Unfurnished,Bathroom 2,Natraj Group Vela Enclave,61 Lac,1 out of 9,Ready to Move
652,2 BHK,Furnished,Bathroom 2,Krishna Keval Township,60 Lac,1 out of 5,Ready to Move
792,2 BHK,Unfurnished,Bathroom 2,Gladiola Paradise,59 Lac,2 out of 7,Ready to Move
659,2 BHK,Furnished,Bathroom 2,Sarvodaya Housing Complex,65 Lac,2 out of 4,Ready to Move
403,1 BHK,Furnished,Bathroom 1,Natasha Enclave,38 Lac,3 out of 5,Ready to Move
684,2 BHK,Unfurnished,Bathroom 2,Natasha Enclave,65 Lac,2 out of 6,Ready to Move
936,2 BHK,Semi-Furnished,Bathroom 2,Darvesh Jasmine,60 Lac,5 out of 12,Ready to Move
505,1 BHK,Unfurnished,Bathroom 1,Sanjeevani Shyamal Phase II,45 Lac,6 out of 6,Ready to Move
797,2 BHK,Furnished,Bathroom 1,Padmaja Park,80 Lac,3 out of 7,Ready to Move
1800,3 BHK,Semi-Furnished,Bathroom 3,Padmaja Park,3.25 Cr,3 out of 4,Ready to Move
425,1 BHK,Semi-Furnished,Bathroom 1,Padmaja Park,42 Lac,4 out of 6,Ready to Move
540,1 BHK,Unfurnished,Bathroom 1,The Construction Shreeram Sahaniwas,30 Lac,Ground out of 4,Ready to Move
432,1 BHK,Unfurnished,Bathroom 1,Raj Tower,30 Lac,3 out of 7,Ready to Move
586,2 BHK,Unfurnished,Bathroom 2,Raj Tower,45 Lac,3 out of 6,Ready to Move
456,1 BHK,Unfurnished,Bathroom 1,Tulip Homes,23 Lac,4 out of 4,Ready to Move
656,2 BHK,Unfurnished,Bathroom 1,Shree krishna vhila,25 Lac,1 out of 4,Ready to Move
396,2 BHK,Furnished,Bathroom 1,Choulwar Laxmi Venkatesh Sankul,26 Lac,1 out of 6,Ready to Move
950,2 BHK,Semi-Furnished,Bathroom 2,Suvidha Apartments,1.55 Cr,1 out of 3,Ready to Move
720,2 BHK,Semi-Furnished,Bathroom 2,ArcVista,50 Lac,5 out of 11,Ready to Move
439,1 BHK,Furnished,Bathroom 2,Dwarka Sai,47 Lac,6 out of 8,Ready to Move
680,2 BHK,Semi-Furnished,Bathroom 2,Suvidha Vrundavan,35 Lac,7 out of 7,Ready to Move
659,2 BHK,Semi-Furnished,Bathroom 2,Suvidha Vrundavan,32 Lac,2 out of 6,Ready to Move
432,1 BHK,Unfurnished,Bathroom 1,Nyati Spa Villas,30 Lac,1 out of 4,Ready to Move
468,1 BHK,Semi-Furnished,Bathroom 1,MR Pride,37 Lac,1 out of 7,Ready to Move
369,1 BHK,Unfurnished,Bathroom 1,Sakar,17.5 Lac,2 out of 4,Ready to Move
426,1 BHK,Unfurnished,Bathroom 1,Stark Aura,37 Lac,2 out of 8,Ready to Move
2036,6 BHK,Unfurnished,Bathroom 3,Nahar F Residences,2.90 Cr,1 out of 15,Ready to Move
576,2 BHK,Unfurnished,Bathroom 2,Balaji Apartment,65 Lac,1 out of 5,Ready to Move
457,1 BHK,Unfurnished,Bathroom 1,Balaji Apartment,45 Lac,2 out of 5,Ready to Move
972,3 BHK,Furnished,Bathroom 3,SSD Sai Orchards,1 Cr,5 out of 8,Ready to Move
720,2 BHK,Furnished,Bathroom 2,Nisarg Varsha,1 Cr,1 out of 4,Ready to Move
864,2 BHK,Semi-Furnished,Bathroom 2,Devi Shanta Niketan,1.04 Cr,Ground out of 3,Ready to Move
382,1 BHK,Unfurnished,Bathroom 1,Urban Gram Chakan,21 Lac,2 out of 4,Ready to Move
756,2 BHK,Unfurnished,Bathroom 2,Urban Gram Chakan,50 Lac,7 out of 12,Ready to Move
479,2 BHK,Unfurnished,Bathroom 2,ArcVista,50 Lac,1 out of 11,Ready to Move
684,2 BHK,Unfurnished,Bathroom 2,Rudraksh,51 Lac,5 out of 11,Ready to Move
697,2 BHK,Unfurnished,Bathroom 2,Shree Ram Hill View,55 Lac,5 out of 8,Ready to Move
747,2 BHK,Furnished,Bathroom 2,Arun Blu,99 Lac,4 out of 11,Ready to Move
582,2 BHK,Furnished,Bathroom 2,Elegent Residency,77 Lac,8 out of 12,Ready to Move
594,2 BHK,Unfurnished,Bathroom 2,Sai Crest,72 Lac,6 out of 13,Ready to Move
396,1 BHK,Unfurnished,Bathroom 1,Vastu Forest Nest,17 Lac,7 out of 10,Ready to Move
403,1 BHK,Unfurnished,Bathroom 1,Pearl Apartment,35 Lac,1 out of 4,Ready to Move
864,3 BHK,Semi-Furnished,Bathroom 3,Lal Deval Housing Society,1.40 Cr,2 out of 3,Ready to Move
720,2 BHK,Unfurnished,Bathroom 2,Keshav CHS,1.10 Cr,1 out of 5,Ready to Move
1080,3 BHK,Furnished,Bathroom 3,Kenjale Light House,2.40 Cr,3 out of 9,Ready to Move
713,2 BHK,Furnished,Bathroom 2,Dev City,75 Lac,7 out of 7,Ready to Move
720,2 BHK,Unfurnished,Bathroom 2,Windsor County,55 Lac,4 out of 11,Ready to Move
468,2 BHK,Semi-Furnished,Bathroom 2,Aarav Florista,38 Lac,7 out of 10,Ready to Move
403,1 BHK,Unfurnished,Bathroom 1,Primera Homes,34 Lac,3 out of 11,Ready to Move
396,2 BHK,Unfurnished,Bathroom 2,Dreams Nivara,20 Lac,4 out of 4,Ready to Move
407,2 BHK,Unfurnished,Bathroom 2,Dreams Nivara,18 Lac,3 out of 4,Ready to Move
810,3 BHK,Unfurnished,Bathroom 3,Ashwini Palace,80 Lac,7 out of 7,Ready to Move
580,2 BHK,Furnished,Bathroom 1,Bhosari Aaditva Society Carpet Area 580 sqft Status Ready to Move Floor Ground out of 4 Transaction Resale Furnishing Furnished Society Aaditva Society,50 Lac,Ground out of 4,Ready to Move
684,2 BHK,Unfurnished,Bathroom 2,Aaditya Terraces,63 Lac,1 out of 12,Ready to Move
576,2 BHK,Semi-Furnished,Bathroom 2,Suchandra Corner,58 Lac,2 out of 5,Ready to Move
420,1 BHK,Unfurnished,Bathroom 1,Binawat Paradise,18 Lac,5 out of 6,Ready to Move
564,2 BHK,Semi-Furnished,Bathroom 2,Binawat Paradise,38 Lac,3 out of 6,Ready to Move
396,1 BHK,Unfurnished,Bathroom 1,Nandini Atharva,30 Lac,3 out of 4,Ready to Move
655,2 BHK,Semi-Furnished,Bathroom 2,Nandini Atharva,36 Lac,1 out of 27,Ready to Move
1260,3 BHK,Semi-Furnished,Bathroom 3,Anmol Residency,1.25 Cr,5 out of 7,Ready to Move
691,2 BHK,Unfurnished,Bathroom 2,Mayuri Residency,45 Lac,5 out of 6,Ready to Move
936,3 BHK,Unfurnished,Bathroom 2,Friends Enclave,1.09 Cr,1 out of 2,Ready to Move
410,1 BHK,Semi-Furnished,Bathroom 1,Navratna Swastik,35 Lac,3 out of 5,Ready to Move
624,2 BHK,Semi-Furnished,Bathroom 2,Navratna Swastik,50 Lac,2 out of 3,Ready to Move
684,2 BHK,Unfurnished,Bathroom 2,Vardhaman Vatika,75 Lac,5 out of 8,Ready to Move
549,2 BHK,Unfurnished,Bathroom 2,Venkatesh Sankul,40 Lac,2 out of 5,Ready to Move
535,1 BHK,Unfurnished,Bathroom 1,Shivane Riverview Society Carpet Area 535 sqft Status Ready to Move Floor 3 out of 5 Transaction Resale Furnishing Unfurnished Society Riverview Society,26 Lac,3 out of 5,Ready to Move
792,2 BHK,Semi-Furnished,Bathroom 2,Vanaraji Heights,1.20 Cr,3 out of 12,Ready to Move
432,1 BHK,Unfurnished,Bathroom 1,Vishakha Regency,35 Lac,1 out of 5,Ready to Move
432,1 BHK,Semi-Furnished,Bathroom 1,Gulmohar Horizon,35 Lac,3 out of 7,Ready to Move
420,1 BHK,Unfurnished,Bathroom 1,Mahalaxmi Heights,30 Lac,1 out of 7,Ready to Move
684,2 BHK,Unfurnished,Bathroom 2,Ambegaon Dutta Niwas Society Carpet Area 684 sqft Status Ready to Move Floor 7 out of 7 Transaction Resale Furnishing Unfurnished Society Dutta Niwas Society,50.8 Lac,7 out of 7,Ready to Move
